u;v;oneway;highway;name;length;maxspeed
56340414;56340411;False;primary;Roebuck Parkway;9.126;40 mph
56531272;56701290;True;primary;Parkway E;9.626;40 mph
1849855511;1849855514;True;primary;Carraway Boulevard;10.29;40 mph
56338241;1838367598;False;primary;Arkadelphia Road;10.363;40 mph
1838367598;56338241;False;primary;Arkadelphia Road;10.363;40 mph
1849855504;1775969598;True;primary;Carraway Boulevard;10.737;40 mph
56368390;56323699;True;primary;Crestwood Boulevard;11.003;40 mph
56415473;56415752;True;primary;Edwards Lake Road;11.229;40 mph
56320682;56415471;True;primary;Edwards Lake Road;11.348;40 mph
56302854;56436955;False;primary;64th Street South;11.471;40 mph
56436955;56302854;False;primary;64th Street South;11.471;40 mph
56451091;56451102;False;primary;Center Point Parkway;12.247;40 mph
56451102;56451091;False;primary;Center Point Parkway;12.247;40 mph
56251390;1838367590;True;primary;Arkadelphia Road;12.902;40 mph
1775969598;1849855511;True;primary;Carraway Boulevard;13.635;40 mph
56257829;1838367605;True;primary;Bankhead Highway West;13.882;40 mph
1849855514;1849855504;True;primary;Carraway Boulevard;14.2;40 mph
56540962;56540964;False;primary;Center Point Parkway;14.418;40 mph
56540964;56540962;False;primary;Center Point Parkway;14.418;40 mph
56415471;56415473;True;primary;Gadsden Highway;15.232;40 mph
1775970162;1775970035;True;primary;Carraway Boulevard;15.36;40 mph
56415752;56320682;True;primary;Gadsden Highway;15.376;40 mph
56347660;56347681;False;primary;1st Avenue North;15.5;40 mph
56347681;56347660;False;primary;1st Avenue North;15.5;40 mph
1775969575;1775969954;True;primary;Carraway Boulevard;15.627;40 mph
56365970;56365990;False;primary;1st Avenue North;15.827;40 mph
56365990;56365970;False;primary;1st Avenue North;15.827;40 mph
56415618;56415619;True;primary;Gadsden Highway;16.402;40 mph
56415575;56415576;True;primary;Gadsden Highway;16.494;40 mph
56257833;1838367606;True;primary;Bankhead Highway West;19.862;40 mph
1226946401;56312295;True;primary;1st Avenue North;19.925;40 mph
56368202;56368200;True;primary;Crestwood Boulevard;20.624;40 mph
56368198;56306946;True;primary;Crestwood Boulevard;21.765;40 mph
56514073;56797313;False;primary;Arkadelphia Road;21.879;40 mph
56797313;56514073;False;primary;Arkadelphia Road;21.879;40 mph
1775969757;1775970162;True;primary;Carraway Boulevard;22.653;40 mph
56553738;2383623222;True;primary;Bessemer Road;23.029;40 mph
