stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
987,2003,Carson Rd & Sun Valley Rd (Apts.),,33.635390000000001,-86.702740000000006,,
988,2004,Carson Rd and Sun Valley Rd (IB),,33.635559999999998,-86.702889999999996,,
991,2007,1st Ave N and 34th St,,33.523350000000001,-86.786640000000006,,
992,2008,1st Ave N and 39th St N,,33.526739999999997,-86.779650000000004,,
993,2009,1st Ave N and 41st St,,33.528030000000001,-86.777050000000003,,
994,2010,1st Ave N and 43rd St,,33.530279999999998,-86.772149999999996,,
995,2011,1st Ave N and 45th Pl,,33.532089999999997,-86.768299999999996,,
996,2012,1st Ave N and 47th Pl N,,33.534080000000003,-86.764049999999997,,
997,2013,1st Ave N and 48th St N,,33.534550000000003,-86.763000000000005,,
998,2014,1ST AVENUE & 50TH ST,,33.53548,-86.761189999999999,,
999,2015,1st Ave N and 52nd St,,33.53651,-86.758880000000005,,
1000,2016,1st Ave N and 55th St,,33.539700000000003,-86.752849999999995,,
1001,2017,1st Ave N and 57th St,,33.541849999999997,-86.750439999999998,,
1003,2019,1st Ave N and 60th St N,,33.54421,-86.747320000000002,,
1004,2020,1st Ave N and 64th St N,,33.547449999999998,-86.743139999999997,,
1005,2021,1st Ave N and 65th St N,,33.548690000000001,-86.741669999999999,,
1006,2022,68th St S and Division Ave,,33.550919999999998,-86.737459999999999,,
1007,2023,68th St S and 1st Ave S,,33.550249999999998,-86.736490000000003,,
1008,2024,2nd Ave S and 68th St,,33.549630000000001,-86.734989999999996,,
1009,2025,2nd Ave S and 70th St S,,33.551580000000001,-86.733180000000004,,
1010,2026,2nd Ave S and 71st St S,,33.552570000000003,-86.732140000000001,,
1011,2027,2nd Ave S and 73rd Ave S,,33.554760000000002,-86.730019999999996,,
1012,2028,2nd Ave S and Oporto Madrid Blvd,,33.558880000000002,-86.726039999999998,,
1013,2029,2nd Ave S near Village Market,,33.560139999999997,-86.724950000000007,,
1014,2030,2nd Ave S and 78th St,,33.56109,-86.724360000000004,,
1015,2031,2nd Ave S and 79th St,,33.562980000000003,-86.723140000000001,,
1016,2032,2nd Ave S and 81st St S,,33.565939999999998,-86.721249999999998,,
